,CicloLectivoDesCorta,IdAlumno,Anio,Genero,FechaNacimiento,Distrito,Provincia,Departamento,FamiliarResponsable,AnioNacimiento,CantParcialesDesaprobados,CantFinalesDesaprobados,ExcedeNotasDesaprobadasNoParcNoFin,ExcedeMitadCursosDesaprobados,ProgramaAlu,Colegio,TipoColegio,CantArmadas,CantArmadasRetraso7dias,ExcedePagosAtrasados,Desercion,Edad,GrupoEdad
0,2023-2,100004070,2023,F,2006-08-26,VILLA EL SALVADOR,LIMA,LIMA,Apoderado,2006.0,0,0,SI,NO,Ing. Económica y de Negocios,Saco Oliveros - S.J.M,PUBL,2.0,2.0,1.0,0,17.0,MenosDe18
1,2023-2,100008630,2023,F,2007-09-09,ATE,LIMA,LIMA,Apoderado,2007.0,0,0,NO,NO,Ing. Negocios Agroforestales,Trilce Comas,PRIV,5.0,4.0,1.0,0,16.0,MenosDe18
2,2023-2,100009785,2023,F,2007-09-09,CHORRILLOS,LIMA,LIMA,Apoderado,2007.0,2,1,NO,SI,Arquitectura y Urb Ambiental,Colegio Fuera De Cartera,PRIV,5.0,4.0,1.0,0,16.0,MenosDe18
3,2023-2,100011191,2023,F,2006-05-18,COMAS,LIMA,LIMA,Apoderado,2006.0,6,6,SI,NO,Estomatología,Colegio Fuera De Cartera,PUBL,5.0,1.0,0.0,1,17.0,MenosDe18
4,2023-2,100012563,2023,F,2007-02-18,COMAS,LIMA,LIMA,Apoderado,2007.0,0,0,NO,NO,Medicina Humana,2da Especialidad,PRIV,5.0,2.0,0.0,1,16.0,MenosDe18
5,2023-2,100014106,2023,F,2006-11-20,CHORRILLOS,LIMA,LIMA,Apoderado,2006.0,1,1,NO,SI,Biología Marina y Econegocio,Markham,PRIV,4.0,3.0,1.0,1,17.0,MenosDe18
6,2023-2,100014115,2023,F,2007-11-19,COMAS,LIMA,LIMA,Apoderado,2007.0,2,0,NO,NO,Adm. Negocios Internacionales,Colegio Fuera De Cartera,PRIV,1.0,0.0,0.0,1,16.0,MenosDe18
7,2023-2,100014891,2023,F,2006-06-13,COMAS,LIMA,LIMA,Apoderado,2006.0,2,4,NO,SI,Medic Veterinaria y Zootecnia,Colegio Fundamentos,PRIV,,,,0,17.0,MenosDe18
8,2023-2,100015358,2023,F,2006-01-16,ATE,LIMA,LIMA,Apoderado,2006.0,1,0,NO,NO,Medicina Humana,Colegio Fundamentos,PRIV,5.0,4.0,1.0,0,17.0,MenosDe18
9,2023-2,100015416,2023,F,2007-03-13,ATE,LIMA,LIMA,Apoderado,2007.0,0,0,NO,NO,Medic Veterinaria y Zootecnia,San Agustin,PRIV,1.0,0.0,0.0,1,16.0,MenosDe18
10,2023-2,100016426,2023,F,2007-10-17,COMAS,LIMA,LIMA,Apoderado,2007.0,0,0,NO,NO,Medic Veterinaria y Zootecnia,Regina Pacis,PRIV,,,,1,16.0,MenosDe18
11,2023-2,100017913,2023,F,2006-04-27,ATE,LIMA,LIMA,Apoderado,2006.0,2,1,NO,NO,Medicina Humana,Colegio Fuera De Cartera,PRIV,5.0,4.0,1.0,0,17.0,MenosDe18
12,2023-2,100021732,2023,F,2006-12-13,SAN MARTÍN DE PORRES,LIMA,LIMA,Apoderado,2006.0,6,8,SI,SI,Medicina Humana,Colegio Fuera De Cartera,PRIV,5.0,0.0,0.0,1,17.0,MenosDe18
13,2023-2,100024002,2023,F,2007-01-14,CHORRILLOS,LIMA,LIMA,Apoderado,2007.0,1,1,NO,SI,Turismo Sostenible y Hotelería,Colegio Educ. Continua,PUBL,6.0,1.0,0.0,0,16.0,MenosDe18
14,2023-2,100024123,2023,F,2007-11-23,VILLA EL SALVADOR,LIMA,LIMA,Apoderado,2007.0,0,0,NO,NO,Psicología,Colegio Fuera De Cartera,PUBL,,,,1,16.0,MenosDe18
15,2023-2,100024623,2023,M,2000-03-09,COMAS,LIMA ,LIMA,Alumno,2000.0,3,0,NO,NO,Marketing y Administración,Innova Schools - Carabayllo,PRIV,5.0,0.0,0.0,0,23.0,Entre18y25
16,2023-2,100025749,2023,F,2006-11-08,VILLA EL SALVADOR,LIMA,LIMA,Apoderado,2006.0,1,0,NO,SI,Medic Veterinaria y Zootecnia,Colegio Fuera De Cartera,PRIV,1.0,1.0,1.0,1,17.0,MenosDe18
17,2023-2,100026766,2023,F,2006-10-19,SAN MARTÍN DE PORRES,LIMA,LIMA,Apoderado,2006.0,1,2,NO,NO,Ingeniería y Gestión Ambiental,Colegio Fuera De Cartera,PRIV,3.0,0.0,0.0,0,17.0,MenosDe18
18,2023-2,100027031,2023,F,2007-03-12,SAN MARTÍN DE PORRES,LIMA,LIMA,Apoderado,2007.0,8,4,SI,NO,Nutrición y Dietética,AMERICA DEL CALLAO,PRIV,2.0,1.0,1.0,0,16.0,MenosDe18
19,2023-2,100030823,2023,F,2006-01-18,VILLA EL SALVADOR,LIMA,LIMA,Apoderado,2006.0,2,0,NO,NO,Enfermería,Colegio Fuera De Cartera,PRIV,4.0,0.0,0.0,0,17.0,MenosDe18
20,2023-2,100030843,2023,F,1998-10-27,VILLA EL SALVADOR,LIMA ,LIMA,Alumno,1998.0,3,0,SI,NO,Medicina Humana,Colegio Fuera De Cartera,PRIV,5.0,4.0,1.0,0,25.0,Mayor25
21,2023-2,100031294,2023,F,2006-11-17,ATE,LIMA,LIMA,Apoderado,2006.0,0,12,SI,NO,Adm. Negocios Internacionales,Colegio Fuera De Cartera,PRIV,5.0,0.0,0.0,0,17.0,MenosDe18
22,2023-2,100031503,2023,F,2007-04-20,VILLA EL SALVADOR,LIMA,LIMA,Apoderado,2007.0,1,1,NO,SI,Ing. de Sistemas Empresariales,Colegio Fuera De Cartera,PRIV,1.0,0.0,0.0,1,16.0,MenosDe18
23,2023-2,100032772,2023,F,2006-02-24,CHORRILLOS,LIMA,LIMA,Apoderado,2006.0,4,4,NO,NO,Medicina Humana,Colegio Extranjero,PRIV,5.0,0.0,0.0,0,17.0,MenosDe18
24,2023-2,100033304,2023,F,2006-09-15,CHORRILLOS,LIMA,LIMA,Apoderado,2006.0,4,4,NO,NO,Ingeniería Ambiental,Colegio Fuera De Cartera,PRIV,5.0,5.0,1.0,0,17.0,MenosDe18
25,2023-2,100033523,2023,F,2007-09-01,CHORRILLOS,LIMA,LIMA,Apoderado,2007.0,4,8,NO,NO,Ingeniería Ambiental,Colegio Fuera De Cartera,PRIV,5.0,3.0,1.0,0,16.0,MenosDe18
26,2023-2,100036604,2023,F,2007-04-27,SAN MARTÍN DE PORRES,LIMA,LIMA,Apoderado,2007.0,0,0,NO,NO,Psicología,Colegio Fuera De Cartera,PRIV,5.0,0.0,0.0,0,16.0,MenosDe18
27,2023-2,100037324,2023,F,2007-01-28,CHORRILLOS,LIMA,LIMA,Apoderado,2007.0,0,0,NO,NO,Estomatología,Colegio Fuera De Cartera,PRIV,1.0,0.0,0.0,0,16.0,MenosDe18
28,2023-2,100038194,2023,F,2007-08-18,ATE,LIMA,LIMA,Apoderado,2007.0,0,0,NO,NO,Adm. Negocios Internacionales,Colegio Fuera De Cartera,PRIV,5.0,1.0,0.0,1,16.0,MenosDe18
29,2023-2,100038291,2023,F,2006-09-09,SAN MARTÍN DE PORRES,LIMA,LIMA,Apoderado,2006.0,1,1,NO,SI,Medic Veterinaria y Zootecnia,Colegio Fuera De Cartera,PRIV,4.0,0.0,0.0,1,17.0,MenosDe18
30,2023-2,100038477,2023,F,2007-04-17,VILLA EL SALVADOR,LIMA,LIMA,Apoderado,2007.0,4,3,NO,SI,Medicina Humana,Manuel Polo Jimenez,PRIV,1.0,0.0,0.0,1,16.0,MenosDe18
31,2023-2,100039069,2023,F,2007-10-26,COMAS,LIMA,LIMA,Apoderado,2007.0,6,6,SI,NO,Medicina Humana,Colegio Fuera De Cartera,PRIV,1.0,1.0,1.0,1,16.0,MenosDe18
32,2023-2,100040096,2023,F,2007-05-20,VILLA EL SALVADOR,LIMA,LIMA,Apoderado,2007.0,4,4,SI,NO,Medic Veterinaria y Zootecnia,CEBA SAN ANDRES-CHINCHA,PRIV,5.0,0.0,0.0,1,16.0,MenosDe18
33,2023-2,100043620,2023,F,2001-09-01,VILLA EL SALVADOR,LIMA ,LIMA,Alumno,2001.0,3,0,NO,NO,Arquitectura y Urb Ambiental,PATRON SANTIAGO DE YANACA,PRIV,4.0,2.0,1.0,0,22.0,Entre18y25
34,2023-2,100044949,2023,F,2006-11-10,SAN MARTÍN DE PORRES,LIMA,LIMA,Apoderado,2006.0,2,1,NO,SI,Medic Veterinaria y Zootecnia,PROLOG - VILLA MARIA DEL TRIUN,PRIV,2.0,1.0,1.0,1,17.0,MenosDe18
35,2023-2,100045880,2023,F,2006-02-21,SAN MARTÍN DE PORRES,LIMA,LIMA,Apoderado,2006.0,0,0,NO,NO,Arquitectura y Urb Ambiental,TRILCE - CHORRILLOS,PRIV,5.0,2.0,0.0,0,17.0,MenosDe18
36,2023-2,100046375,2023,F,2006-04-25,COMAS,LIMA,LIMA,Apoderado,2006.0,1,0,NO,NO,Medic Veterinaria y Zootecnia,DE JESUS-VENTANILLA,PRIV,5.0,0.0,0.0,0,17.0,MenosDe18
